RK,NAME,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1,Stefon DiggsBUF,WR,16,127,166,"1,535",12.1,8,55,20,95.9,0,0,468,73
2,Travis KelceKC,TE,15,105,145,"1,416",13.5,11,45,23,94.4,1,1,597,79
3,DeAndre HopkinsARI,WR,16,115,160,"1,407",12.2,6,60,17,87.9,3,2,527,75
4,Justin JeffersonMIN,WR,16,88,125,"1,400",15.9,7,71,23,87.5,1,0,450,58
5,Davante AdamsGB,WR,14,115,149,"1,374",11.9,18,56,18,98.1,1,1,592,73
5,Calvin RidleyATL,WR,15,90,143,"1,374",15.3,9,63,23,91.6,1,1,369,65
7,DK MetcalfSEA,WR,16,83,129,"1,303",15.7,10,62,17,81.4,1,1,384,63
8,Tyreek HillKC,WR,15,87,135,"1,276",14.7,15,75,20,85.1,0,0,430,57
9,Allen Robinson IICHI,WR,16,102,151,"1,250",12.3,6,42,22,78.1,0,0,339,68
10,Darren WallerLV,TE,16,107,145,"1,196",11.2,9,38,16,74.8,2,2,583,69
11,DJ MooreCAR,WR,15,66,118,"1,193",18.1,4,74,19,79.5,0,0,390,53
12,Brandin CooksHOU,WR,15,81,119,"1,150",14.2,6,57,20,76.7,0,0,348,52
13,Terry McLaurinWSH,WR,15,87,134,"1,118",12.9,4,68,17,74.5,1,1,490,51
14,Amari CooperDAL,WR,16,92,130,"1,114",12.1,5,69,13,69.6,0,0,408,54
15,Robbie AndersonCAR,WR,16,95,136,"1,096",11.5,3,75,16,68.5,1,1,514,49
16,A.J. BrownTEN,WR,14,70,106,"1,075",15.4,11,73,13,76.8,2,1,422,55
17,Tyler LockettSEA,WR,16,100,132,"1,054",10.5,10,47,10,65.9,1,0,339,57
18,Mike EvansTB,WR,16,70,109,"1,006",14.4,13,50,20,62.9,0,0,266,55
19,Keenan AllenLAC,WR,14,100,147,992,9.9,8,28,10,70.9,3,2,448,61
20,Corey DavisTEN,WR,14,65,92,984,15.1,5,75,14,70.3,1,1,279,49
21,Marvin Jones Jr.DET,WR,16,76,115,978,12.9,9,43,19,61.1,0,0,203,52
22,Cooper KuppLAR,WR,15,92,124,974,10.6,3,55,12,64.9,0,0,529,45
23,Cole BeasleyBUF,WR,15,82,107,967,11.8,4,35,15,64.5,0,0,354,53
24,Robert WoodsLAR,WR,16,90,129,936,10.4,6,56,11,58.5,1,0,504,46
25,CeeDee LambDAL,WR,16,74,111,935,12.6,5,52,18,58.4,1,1,317,46
26,Adam ThielenMIN,WR,15,74,108,925,12.5,14,51,11,61.7,0,0,231,52
27,Diontae JohnsonPIT,WR,15,88,144,923,10.5,7,47,10,61.5,1,0,396,45
28,Tee HigginsCIN,WR,16,67,108,908,13.6,6,67,14,56.8,1,1,304,52
29,Nelson AgholorLV,WR,16,48,82,896,18.7,8,85,15,56,0,0,241,37
30,William Fuller VHOU,WR,11,53,75,879,16.6,8,77,14,79.9,0,0,295,38
31,Chase ClaypoolPIT,WR,16,62,109,873,14.1,9,84,14,54.6,3,1,338,41
32,Jerry JeudyDEN,WR,16,52,113,856,16.5,3,92,14,53.5,2,0,291,39
33,Curtis SamuelCAR,WR,15,77,97,851,11.1,3,44,12,56.7,1,0,332,39
34,Michael GallupDAL,WR,16,59,105,843,14.3,5,55,11,52.7,0,0,254,44
35,Tyler BoydCIN,WR,15,79,110,841,10.6,4,72,7,56.1,1,0,363,43
36,Jarvis LandryCLE,WR,15,72,101,840,11.7,3,32,11,56,1,0,345,46
36,Chris GodwinTB,WR,12,65,84,840,12.9,7,47,13,70,1,0,300,43
38,JuJu Smith-SchusterPIT,WR,16,97,128,831,8.6,9,31,13,51.9,3,1,405,48
39,DeVante ParkerMIA,WR,14,63,103,793,12.6,4,31,10,56.6,1,0,178,45
40,Russell GageATL,WR,16,72,110,786,10.9,4,35,6,49.1,0,0,288,50
41,Julio JonesATL,WR,9,51,68,771,15.1,3,44,16,85.7,0,0,230,36
42,Marquise BrownBAL,WR,16,58,100,769,13.3,8,70,13,48.1,0,0,270,35
43,T.Y. HiltonIND,WR,15,56,93,762,13.6,5,50,11,50.8,0,0,193,42
44,Mike WilliamsLAC,WR,15,48,85,756,15.8,5,64,13,50.4,0,0,165,35
44,Alvin KamaraNO,RB,15,83,107,756,9.1,5,52,9,50.4,0,0,734,35
46,Darius SlaytonNYG,WR,16,50,96,751,15,3,41,10,46.9,1,1,164,40
47,Brandon AiyukSF,WR,12,60,96,748,12.5,5,49,10,62.3,0,0,289,43
48,Tim PatrickDEN,WR,15,51,79,742,14.5,6,61,14,49.5,0,0,243,33
49,Jakobi MeyersNE,WR,14,59,81,729,12.4,0,35,11,52.1,1,1,224,37
50,Emmanuel SandersNO,WR,14,61,82,726,11.9,5,51,7,51.9,1,0,172,33
51,T.J. HockensonDET,TE,16,67,101,723,10.8,6,51,6,45.2,0,0,332,40
52,DJ CharkJAX,WR,13,53,93,706,13.3,5,73,10,54.3,0,0,170,37
53,Mike GesickiMIA,TE,15,53,85,703,13.3,6,70,10,46.9,0,0,189,36
54,Mark AndrewsBAL,TE,14,58,88,701,12.1,7,39,10,50.1,2,0,190,37
55,Jamison CrowderNYJ,WR,12,59,89,699,11.8,6,69,9,58.3,0,0,327,32
56,Marquez Valdes-ScantlingGB,WR,16,33,63,690,20.9,6,78,10,43.1,1,1,255,27
57,Noah FantDEN,TE,15,62,93,673,10.9,3,37,8,44.9,0,0,372,34
58,Logan ThomasWSH,TE,16,72,110,670,9.3,6,30,5,41.9,0,0,289,36
59,Kendrick BourneSF,WR,15,49,74,667,13.6,2,49,7,44.5,0,0,221,35
60,Sterling ShepardNYG,WR,12,66,90,656,9.9,3,29,10,54.7,0,0,210,37
60,Hunter RenfrowLV,WR,16,56,77,656,11.7,2,53,7,41,1,1,355,32
62,Evan EngramNYG,TE,16,63,109,654,10.4,1,53,6,40.9,1,1,286,32
63,Keelan ColeJAX,WR,16,55,88,642,11.7,5,51,8,40.1,0,0,182,34
64,George KittleSF,TE,8,48,63,634,13.2,2,44,8,79.3,0,0,296,32
65,Darnell MooneyCHI,WR,16,61,98,631,10.3,4,53,6,39.4,1,0,338,33
66,Zach PascalIND,WR,16,44,71,629,14.3,5,42,13,39.3,0,0,240,29
67,Rob GronkowskiTB,TE,16,45,77,623,13.8,7,48,10,38.9,1,0,256,29
68,Christian KirkARI,WR,14,48,79,621,12.9,6,80,7,44.4,0,0,187,30
69,Josh ReynoldsLAR,WR,16,52,81,618,11.9,2,40,8,38.6,1,0,220,31
70,Dalton SchultzDAL,TE,16,63,89,615,9.8,4,28,3,38.4,1,1,278,33
71,Hunter HenryLAC,TE,14,60,93,613,10.2,4,33,5,43.8,0,0,241,35
72,Damiere ByrdNE,WR,16,47,77,604,12.9,1,42,10,37.8,1,0,166,29
73,Danny AmendolaDET,WR,14,46,69,602,13.1,0,50,8,43,0,0,296,30
74,Laviska Shenault Jr.JAX,WR,14,58,79,600,10.3,5,36,10,42.9,0,0,295,33
75,Rashard HigginsCLE,WR,13,37,52,599,16.2,4,43,12,46.1,2,0,77,26
75,Gabriel DavisBUF,WR,16,35,62,599,17.1,7,56,10,37.4,1,0,131,27
77,J.D. McKissicWSH,RB,16,80,110,589,7.4,2,29,2,36.8,2,1,510,32
78,Robert TonyanGB,TE,16,52,59,586,11.3,11,45,9,36.6,0,0,224,33
79,Hayden HurstATL,TE,16,56,88,571,10.2,6,42,5,35.7,0,0,257,35
80,Mecole HardmanKC,WR,16,41,62,560,13.7,4,49,7,35,1,1,291,23
81,Eric EbronPIT,TE,15,56,91,558,10,5,27,6,37.2,1,1,197,30
82,Travis FulghamPHI,WR,13,38,67,539,14.2,4,42,5,41.5,0,0,112,26
83,Dallas GoedertPHI,TE,11,46,65,524,11.4,3,41,7,47.6,0,0,203,28
84,A.J. GreenCIN,WR,16,47,104,523,11.1,2,33,3,32.7,0,0,90,34
85,Tyler HigbeeLAR,TE,15,44,60,521,11.8,5,44,9,34.7,0,0,246,27
86,Jalen GuytonLAC,WR,16,28,55,511,18.3,3,72,7,31.9,0,0,188,18
87,Breshad PerrimanNYJ,WR,12,30,60,505,16.8,3,53,10,42.1,0,0,164,20
88,Jared CookNO,TE,15,37,60,504,13.6,7,46,6,33.6,1,1,116,27
89,Michael Pittman Jr.IND,WR,13,40,61,503,12.6,1,45,5,38.7,0,0,280,22
90,Scotty MillerTB,WR,16,33,53,501,15.2,3,48,7,31.3,0,0,116,20
91,Anthony MillerCHI,WR,16,49,76,485,9.9,2,34,4,30.3,1,1,154,23
92,Antonio BrownTB,WR,8,45,61,483,10.7,4,46,6,60.4,0,0,252,27
93,Nyheim HinesIND,RB,16,63,76,482,7.7,4,29,2,30.1,0,0,475,24
94,Cam SimsWSH,WR,16,32,48,477,14.9,1,50,9,29.8,0,0,250,18
95,Chris ConleyJAX,WR,15,40,63,471,11.8,2,51,5,31.4,1,1,181,24
96,Demarcus RobinsonKC,WR,16,45,59,466,10.4,3,28,7,29.1,1,1,165,26
97,John BrownBUF,WR,9,33,52,458,13.9,3,46,7,50.9,0,0,172,22
98,Jimmy GrahamCHI,TE,16,50,76,456,9.1,8,30,4,28.5,1,0,206,32
99,Henry Ruggs IIILV,WR,13,26,43,452,17.4,2,72,8,34.8,1,1,153,13
100,Allen LazardGB,WR,10,33,46,451,13.7,3,72,6,45.1,0,0,195,23
