RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
1,Jonathan TaylorIND,RB,17,332,"1,811",5.5,83,14,18,106.5,3,2,107
2,Nick ChubbCLE,RB,14,228,"1,259",5.5,70,12,8,89.9,2,1,61
3,Joe MixonCIN,RB,16,292,"1,205",4.1,32,6,13,75.3,1,1,60
4,Najee HarrisPIT,RB,17,307,"1,200",3.9,37,6,7,70.6,0,0,62
5,Dalvin CookMIN,RB,13,249,"1,159",4.7,66,9,6,89.2,3,2,57
6,Antonio GibsonWSH,RB,16,258,"1,037",4,27,4,7,64.8,5,3,65
7,Ezekiel ElliottDAL,RB,17,237,"1,002",4.2,47,3,10,58.9,1,1,55
8,Elijah MitchellSF,RB,11,207,963,4.7,39,6,5,87.5,0,0,47
9,Derrick HenryTEN,RB,8,219,937,4.3,76,3,10,117.1,1,0,49
10,Damien HarrisNE,RB,15,202,929,4.6,64,8,15,61.9,2,2,55
11,Melvin Gordon IIIDEN,RB,16,203,918,4.5,70,3,8,57.4,3,3,48
12,Austin EkelerLAC,RB,16,206,911,4.4,28,3,12,56.9,0,0,53
13,Javonte WilliamsDEN,RB,17,203,903,4.4,49,6,4,53.1,2,1,52
14,Alvin KamaraNO,RB,13,240,898,3.7,30,3,4,69.1,0,0,42
15,Josh JacobsLV,RB,15,217,872,4,28,2,9,58.1,2,2,45
16,Devin SingletaryBUF,RB,17,188,870,4.6,46,6,7,51.2,2,0,44
17,David MontgomeryCHI,RB,13,225,849,3.8,41,5,7,65.3,1,1,55
18,Sony MichelLAR,RB,17,208,845,4.1,39,2,4,49.7,1,1,49
19,Leonard FournetteTB,RB,14,180,812,4.5,47,5,8,58,0,0,45
20,AJ DillonGB,RB,17,187,803,4.3,36,2,5,47.2,1,1,50
21,Aaron JonesGB,RB,15,171,799,4.7,57,5,4,53.3,1,1,37
22,Jalen HurtsPHI,QB,15,139,784,5.6,31,7,10,52.3,4,1,56
23,Lamar JacksonBAL,QB,12,133,767,5.8,31,5,2,63.9,4,2,48
23,James RobinsonJAX,RB,14,164,767,4.7,58,4,8,54.8,2,2,41
25,Josh AllenBUF,QB,17,122,763,6.3,34,9,6,44.9,5,2,53
26,Miles SandersPHI,RB,12,137,754,5.5,38,7,0,62.8,1,1,33
27,James ConnerARI,RB,15,202,752,3.7,35,3,15,50.1,2,0,53
28,Rashaad PennySEA,RB,10,119,749,6.3,62,11,6,74.9,0,0,28
29,Tony PollardDAL,RB,15,130,719,5.5,58,4,2,47.9,0,0,35
30,Darrell Henderson Jr.LAR,RB,12,149,688,4.6,29,1,5,57.3,0,0,39
31,Michael CarterNYJ,RB,14,147,639,4.3,55,3,4,45.6,0,0,29
32,Cordarrelle PattersonATL,RB,16,153,618,4,39,2,6,38.6,1,0,29
33,D'Andre SwiftDET,RB,13,151,617,4.1,57,3,5,47.5,0,0,28
34,Myles GaskinMIA,RB,17,173,612,3.5,30,2,3,36,2,1,25
34,Chuba HubbardCAR,RB,17,172,612,3.6,26,3,5,36,1,1,36
36,Rhamondre StevensonNE,RB,12,133,606,4.6,21,1,5,50.5,1,0,33
37,Jamaal WilliamsDET,RB,13,153,601,3.9,20,1,3,46.2,1,0,42
38,Devontae BookerNYG,RB,16,145,593,4.1,31,3,2,37.1,0,0,31
38,Saquon BarkleyNYG,RB,13,162,593,3.7,41,3,2,45.6,1,1,27
40,Chase EdmondsARI,RB,12,116,592,5.1,54,3,2,49.3,0,0,32
41,Devonta FreemanBAL,RB,16,133,576,4.3,32,4,5,36,0,0,31
42,D'Onta ForemanTEN,RB,9,133,566,4.3,35,4,3,62.9,2,1,22
43,Darrel WilliamsKC,RB,17,144,558,3.9,21,1,6,32.8,0,0,40
71,Mark Ingram IIHOU/NO,RB,14,160,554,3.5,28,2,2,39.6,1,1,22
44,D'Ernest JohnsonCLE,RB,17,100,534,5.3,30,4,3,31.4,0,0,24
45,Clyde Edwards-HelaireKC,RB,10,119,517,4.3,17,0,4,51.7,2,2,21
46,Mike DavisATL,RB,17,138,503,3.6,18,0,3,29.6,2,1,21
47,Latavius MurrayBAL,RB,14,119,501,4.2,46,3,6,35.8,0,0,36
48,Alexander MattisonMIN,RB,16,134,491,3.7,48,2,3,30.7,1,1,28
49,Christian McCaffreyCAR,RB,7,99,442,4.5,18,0,1,63.1,1,0,20
50,Khalil HerbertCHI,RB,17,103,433,4.2,29,4,2,25.5,0,0,24
51,Ronald JonesTB,RB,16,101,428,4.2,30,1,4,26.8,2,2,25
52,Rex BurkheadHOU,RB,16,122,427,3.5,36,2,3,26.7,1,0,30
53,Kyler MurrayARI,QB,14,88,423,4.8,57,1,5,30.2,12,0,25
54,Justin FieldsCHI,QB,12,72,420,5.8,23,3,2,35,4,1,22
55,Alex CollinsSEA,RB,11,108,411,3.8,25,2,2,37.4,0,0,22
56,Jordan HowardPHI,RB,7,86,406,4.7,25,1,3,58,0,0,24
57,Kareem HuntCLE,RB,8,78,386,4.9,33,2,5,48.3,0,0,22
58,Patrick MahomesKC,QB,17,66,381,5.8,32,4,2,22.4,4,2,25
59,Taysom HillNO,TE,12,70,374,5.3,44,3,5,31.2,1,0,26
60,Boston ScottPHI,RB,16,87,373,4.3,23,2,7,23.3,1,1,24
61,Deebo SamuelSF,WR,16,59,365,6.2,49,5,8,22.8,0,0,21
62,Justin JacksonLAC,RB,14,68,364,5.4,75,2,2,26,1,1,18
63,Tevin ColemanNYJ,RB,11,84,356,4.2,20,1,0,32.4,0,0,19
64,Dontrell HilliardTEN,RB,8,56,350,6.3,68,2,2,43.8,1,1,15
65,Zack MossBUF,RB,13,96,345,3.6,17,0,4,26.5,0,0,22
66,Trevor LawrenceJAX,QB,17,73,334,4.6,26,1,2,19.6,3,0,21
67,Duke JohnsonMIA,RB,5,71,330,4.6,27,1,3,66,0,0,18
68,Taylor HeinickeWSH,QB,16,60,313,5.2,38,2,1,19.6,4,0,20
69,Justin HerbertLAC,QB,17,63,302,4.8,36,1,3,17.8,0,0,28
70,Daniel JonesNYG,QB,11,62,298,4.8,46,2,2,27.1,2,1,16
71,Jeff Wilson Jr.SF,RB,9,79,294,3.7,17,0,2,32.7,1,0,19
71,Tyler HuntleyBAL,QB,7,47,294,6.3,21,1,2,42,1,1,22
74,Kenneth GainwellPHI,RB,16,68,291,4.3,18,0,5,18.2,1,1,19
75,Nyheim HinesIND,RB,17,56,276,4.9,34,2,2,16.2,0,0,15
76,Ryan TannehillTEN,QB,17,55,270,4.9,28,2,7,15.9,4,1,33
77,Jaret PattersonWSH,RB,17,68,266,3.9,13,0,2,15.6,1,0,15
79,Derrick GoreKC,RB,11,51,256,5,51,2,2,23.3,0,0,12
80,Kenyan DrakeLV,RB,12,63,254,4,21,1,2,21.2,0,0,15
81,Carlos HydeJAX,RB,12,72,253,3.5,18,0,1,21.1,2,2,14
112,Phillip LindsayHOU/MIA,RB,14,88,249,2.8,35,1,1,17.8,0,0,11
82,Samaje PerineCIN,RB,16,55,246,4.5,46,2,1,15.4,0,0,11
83,Ty JohnsonNYJ,RB,16,61,238,3.9,24,2,2,14.9,1,1,13
84,Chris CarsonSEA,RB,4,54,232,4.3,33,2,3,58,1,1,11
85,Cam NewtonCAR,QB,8,47,230,4.9,33,2,5,28.8,4,1,20
85,Craig ReynoldsDET,RB,5,55,230,4.2,35,2,0,46,0,0,11
87,David JohnsonHOU,RB,13,67,228,3.4,15,0,0,17.5,1,1,7
88,Brandon BoldenNE,RB,17,44,226,5.1,24,2,1,13.3,1,0,12
89,Sam DarnoldCAR,QB,12,48,222,4.6,30,2,5,18.5,4,2,21
90,Carson WentzIND,QB,17,57,215,3.8,18,0,1,12.6,4,1,21
91,J.D. McKissicWSH,RB,11,48,212,4.4,15,0,2,19.3,0,0,14
91,Peyton BarberLV,RB,10,55,212,3.9,27,1,2,21.2,2,0,12
93,Ty'Son WilliamsBAL,RB,13,35,185,5.3,35,2,1,14.2,1,0,8
93,Zach WilsonNYJ,QB,13,29,185,6.4,52,3,4,14.2,1,0,10
95,Russell WilsonSEA,QB,14,43,183,4.3,17,0,2,13.1,2,0,17
96,Ke'Shawn VaughnTB,RB,12,36,180,5,55,1,2,15,0,0,9
97,Travis HomerSEA,RB,14,21,177,8.4,73,2,1,12.6,0,0,7
136,Royce FreemanHOU/CAR,RB,15,56,169,3,13,0,0,11.3,0,0,8
98,Trey LanceSF,QB,6,38,168,4.4,15,0,1,28,0,0,8
99,Trey SermonSF,RB,9,41,167,4.1,16,0,1,18.6,0,0,9
